,age,合計,大型,中型,普通,大特,けん引,小計,大型.1,中型.1,準中型,普通.1,大特.1,大自二,普自二,小特,原付,けん引.1,小計.1,cumsum,percent
0,１６,19859,0,0,0,0,0,0,0,0,0,0,0,0,3752,32,16075,0,19859,82314823,1.0
1,１７,46112,0,0,0,0,0,0,0,0,0,0,0,0,12118,90,33904,0,46112,82294964,0.9997587433310766
2,１８,202471,0,0,0,0,0,0,0,0,4914,154476,122,175,9587,82,33115,0,202471,82248852,0.9991985526106276
3,１９,615132,0,0,0,0,0,0,215,0,33691,550300,216,213,6252,88,24157,0,615132,82046381,0.9967388376696139
4,２０,803888,0,0,0,0,0,0,973,1439,324276,451555,177,281,5308,80,19799,0,803888,81431249,0.9892659187276635
5,２１,898631,78,1,59,0,1,139,2713,5918,637351,232206,123,302,4072,80,15727,0,898492,80627361,0.9794999012510784
6,２２,974995,334,4,305,2,1,646,6773,9578,794289,146704,69,252,3349,86,13249,0,974349,79728730,0.9685829003118915
7,２３,1000691,568,65,646,2,0,1281,9979,13485,867036,94137,38,206,2634,74,11821,0,999410,78753735,0.9567381928282832
8,２４,1063186,735,290,738,3,1,1767,12704,16890,960093,57117,34,235,2570,73,11703,0,1061419,77753044,0.9445813179966384
9,２５,1035732,877,528,541,7,1,1954,14173,19344,951264,35441,25,184,2298,61,10988,0,1033778,76689858,0.9316652238929068
10,２６,1064599,1132,719,470,8,1,2330,17307,23050,980025,28517,17,190,2171,77,10915,0,1062269,75654126,0.9190826541654593
11,２７,1086975,1368,868,529,7,0,2772,19339,25805,1001448,24160,19,154,2221,68,10989,0,1084203,74589527,0.9061493942591603
12,２８,1097102,1614,891,494,11,0,3010,21516,26888,1011668,20951,18,160,2182,60,10649,0,1094092,73502552,0.8929442999591944
13,２９,1126686,1893,1033,430,10,1,3367,23937,112488,954954,19292,10,167,2042,50,10379,0,1123319,72405450,0.8796161779999211
14,３０,1192071,2106,1292,469,10,2,3879,25956,514108,617281,17795,12,154,2065,49,10772,0,1188192,71278764,0.86592865540147
15,３１,1228285,2295,1503,459,16,3,4276,27245,773014,394624,16188,12,197,2097,44,10588,0,1224009,70086693,0.8514468044230624
16,３２,1262449,2662,1697,489,17,1,4866,31273,933155,265937,14453,18,192,1951,55,10549,0,1257583,68858408,0.8365250083815402
17,３３,1312925,3188,1995,498,23,2,5706,36943,1050450,193762,13266,19,161,1950,49,10619,0,1307219,67595959,0.8211881716613787
18,３４,1377103,3845,2383,518,24,1,6771,43000,1157044,144756,12408,19,178,1957,43,10927,0,1370332,66283034,0.8052381282530365
19,３５,1399149,4270,2649,520,18,4,7461,46824,1202792,117306,11762,8,171,1833,45,10947,0,1391688,64905931,0.7885084196803777
20,３６,1409318,4824,3134,546,31,3,8538,49949,1226148,100717,11075,5,180,1753,46,10907,0,1400780,63506782,0.7715108857125283
21,３７,1422514,5472,3441,530,28,12,9483,53317,1249427,87333,9850,13,214,1772,50,11055,0,1413031,62097464,0.7543898138492019
22,３８,1466645,5986,3822,521,32,12,10373,58704,1297706,77749,8937,13,201,1680,48,11234,0,1456272,60674950,0.7371084306407365
23,３９,1526499,7039,4241,569,34,9,11892,64233,1356845,71705,8334,17,209,1649,52,11563,0,1514607,59208305,0.7192909228511614
24,４０,1585853,8005,4838,585,29,12,13469,70859,1415250,65100,7656,14,219,1722,43,11521,0,1572384,57681806,0.7007462799257917
25,４１,1626327,9197,5401,658,38,8,15302,76762,1455902,58387,6910,14,214,1696,39,11101,0,1611025,56095953,0.6814805761047437
26,４２,1694240,10596,6256,677,38,12,17579,84111,1519364,53505,6257,12,231,1861,46,11274,0,1676661,54469626,0.6617231746947935
27,４３,1751341,11933,7186,750,42,9,19920,91914,1571604,48586,5635,11,237,1958,44,11432,0,1731421,52775386,0.6411407335468607
28,４４,1866255,13834,8073,791,48,16,22762,102164,1676025,45806,5463,22,263,2004,45,11701,0,1843493,51024045,0.6198646020292117
29,４５,1916625,15144,9319,800,48,16,25327,106702,1723332,41598,5119,22,244,2154,40,12087,0,1891298,49157790,0.597192440054205
30,４６,1883057,15758,9808,855,54,15,26490,106928,1694053,37235,4703,17,251,2157,26,11197,0,1856567,47241165,0.5739083591299224
31,４７,1843798,16723,10626,871,50,21,28291,107783,1656156,33792,4200,16,255,2139,49,11117,0,1815507,45358108,0.5510320783900611
32,４８,1775949,17483,11280,865,53,19,29700,106150,1593869,29672,3724,26,231,2033,32,10512,0,1746249,43514310,0.5286327348356201
33,４９,1728560,17770,11881,900,50,14,30615,106865,1549161,26105,3387,18,221,1906,33,10249,0,1697945,41738361,0.5070576535164268
34,５０,1706031,18637,12314,917,42,19,31929,105575,1529574,23536,3198,24,194,1854,30,10117,0,1674102,40009801,0.48605827652693856
35,５１,1754503,20684,13782,910,48,16,35440,110150,1571874,21409,2944,29,218,1937,25,10477,0,1719063,38303770,0.4653325926485926
36,５２,1229129,15508,10573,777,39,16,26913,78422,1096255,15469,2235,19,167,1429,23,8197,0,1202216,36549267,0.4440180476364506
37,５３,1629132,22459,14442,965,33,10,37909,102719,1456019,17100,2409,16,164,1733,29,11034,0,1591223,35320138,0.4290859982776128
38,５４,1523432,21884,14442,988,41,19,37374,96404,1359876,15050,2264,18,165,1508,30,10743,0,1486058,33691006,0.40929452038061237
39,５５,1460490,21173,14290,929,47,15,36454,91235,1304873,13672,2101,24,155,1350,41,10585,0,1424036,32167574,0.3907871368441137
40,５６,1407911,21012,14220,812,40,9,36093,88448,1257102,12340,1951,23,137,1260,33,10524,0,1371818,30707084,0.37304440295036534
41,５７,1363160,20503,14746,790,26,11,36076,87346,1215427,10809,1773,17,137,1270,42,10263,0,1327084,29299173,0.355940423998725
42,５８,1360150,20498,15739,747,25,11,37020,88292,1210917,10493,1695,17,105,1086,38,10487,0,1323130,27936013,0.33938010168593813
43,５９,1357442,20253,16924,675,28,5,37885,88331,1207546,9865,1660,22,154,930,44,11005,0,1319557,26575863,0.322856346298649
44,６０,1358005,20019,17988,719,35,10,38771,88231,1207545,9222,1584,11,284,831,48,11478,0,1319234,25218421,0.30636548899582766
